PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
92390,1,2,"Barbian, Dalila",female,31.0,2,1,196828,28.55,,S
81463,0,2,"Miller, Andre",male,53.0,2,0,320188,7.34,,S
27159,0,2,"Webb, David",male,53.0,0,0,STON/O 24705,9.69,,S
41501,1,2,"Galarza, Sarah",female,49.0,0,0,9205,26.31,E18538,S
30518,0,2,"Parmley, David",male,21.0,1,0,46012,24.56,A18752,S
71270,1,2,"Mccullough, Kristin",female,69.0,0,1,27842,10.94,F18547,C
4232,1,3,"Phillips, Kenneth",male,30.0,0,0,323192,27.01,,S
85113,1,1,"Green, Patrice",female,39.0,0,0,14886,262.12,C21764,S
14655,0,3,"Rosenthal, Luis",male,35.0,0,0,215515,10.24,,S
13072,0,3,"Woodfin, Herlinda",female,62.0,0,0,408807,6.28,,S
98993,0,1,"Bradley, Enrique",male,60.0,1,0,PC 228625,233.62,B9950,S
57767,1,3,"Horn, Samuel",male,3.0,1,1,3873756,30.24,,S
58223,0,3,"Kalish, Raymond",male,8.0,1,0,464799,26.59,,S
62488,0,3,"Finigan, Gertrude",female,24.0,0,2,480369,23.93,,S
74783,0,2,"Smith, Jerome",male,20.0,2,0,8931,23.11,,S
82483,0,3,"Crawford, Clyde",male,58.0,0,0,A. 46719,9.57,,C
31850,1,2,"Fratus, Patti",female,,1,1,6889,24.29,,S
76732,1,1,"Willis, Sara",female,22.0,2,0,311302,32.74,D19924,C
47983,0,3,"Karth, James",male,49.0,0,0,427282,4.6,,S
80683,0,2,"Debarros, Kevin",male,0.75,1,2,443949,29.02,,S
6858,0,3,"Hoff, Todd",male,38.0,0,0,SOTON/O.Q. 3995622,9.38,,S
27869,1,2,"Tuohy, Helen",female,31.0,0,0,SC/Paris 417271,28.0,G16559,S
40856,0,1,"Rudd, Carol",female,57.0,1,0,426932,80.29,,Q
52397,0,1,"Benson, Derek",male,31.0,1,1,35599,6.51,D4894,S
60712,1,1,"Weekes, Deborah",female,44.0,0,0,224664,160.55,B16160,Q
44040,0,1,"Loucks, David",male,35.0,1,2,196517,472.79,B10624,S
40040,0,2,"Hooker, Sandra",female,41.0,0,1,393736,14.51,,S
2701,0,1,"Hillian, Robert",male,29.0,0,0,472331,23.53,,S
22872,0,3,"Riffe, John",male,,0,0,40778,10.1,,S
12506,0,2,"Louis, Kevin",male,59.0,1,2,CA 432096,19.72,A13010,S
60689,1,2,"Zamora, Joe",male,33.0,0,0,3969102,8.23,,S
54008,0,1,"Healy, Kevin",male,24.0,2,0,10334,75.79,A11827,S
82288,0,3,"Casey, Patrick",male,,0,0,SC/AH 4147954,9.06,,S
12053,1,1,"Wiseman, Franchesca",female,33.0,1,1,14224,29.05,B3283,S
31305,0,3,"Tawwater, Bonnie",female,63.0,0,0,212727,12.38,,S
48558,0,3,"Koopman, Luis",male,24.0,0,0,,10.4,,S
34782,1,1,"Burbage, Dawn",female,46.0,1,1,25176,32.54,B3553,S
77808,1,1,"Nault, Jacqueline",female,56.0,0,0,8875,9.35,F13412,C
22644,1,2,"Dillingham, Vivian",female,60.0,0,0,418995,4.52,,C
50322,0,3,"Clermont, Frances",female,32.0,5,0,459766,9.26,,S
38918,0,3,"Guetersloh, Grover",male,36.0,0,0,10214,8.8,,S
47238,0,1,"Dibble, Steven",male,58.0,0,0,434111,92.76,A21648,S
18828,0,3,"Lischak, Robert",male,50.0,0,0,440057,8.58,,S
17430,1,1,"Newton, Cheryl",female,49.0,0,0,PC 434804,32.42,C19358,S
24153,1,1,"Mcintire, Gerard",male,19.0,0,0,27686,86.69,C4845,S
62830,0,3,"Barrett, Gaston",male,27.0,0,2,24965,53.27,A11063,S
10116,1,2,"Gaytan, Joseph",male,44.0,1,2,17377,29.1,,S
4578,0,3,"Naranjo, Ruben",male,6.0,0,0,A. 435807,6.87,,S
4111,1,3,"Candelaria, Lavonne",female,5.0,1,2,388232,34.21,,S
44254,0,3,"Labarge, Robert",male,23.0,0,1,,8.36,,S
80942,1,1,"Lansing, Colleen",female,35.0,0,0,PC 19053,86.81,C17925,C
73674,0,3,"Brassil, Patrick",male,26.0,0,0,STON/O 202983,8.18,,S
27996,1,2,"Pack, Charmain",female,71.0,0,0,5287,20.59,,S
94134,0,3,"Gibson, Shawn",male,22.0,0,0,4283908,3.89,,S
91062,0,3,"Cyrus, Adam",male,62.0,0,0,20865,25.67,,S
80695,1,2,"Brown, Dawn",female,34.0,0,0,F.C. 462617,8.32,,C
14429,1,1,"Rabago, Robert",male,46.0,0,1,25993,13.49,C19920,C
63178,0,3,"Hight, Marion",female,8.0,0,1,SC/AH 469452,23.85,,C
81752,0,1,"Green, Michael",male,61.0,0,0,28775,11.15,,S
62904,1,1,"Haller, Angela",female,34.0,1,0,PP 40225,173.2,C11717,S
92676,0,2,"Bell, Jose",male,20.0,0,0,13012,6.99,,S
90619,0,3,"Davis, Marta",female,7.0,1,1,7158,74.56,,S
42683,1,1,"Thomas, Kathleen",female,36.0,0,0,38667,29.57,B6452,C
94148,0,2,"Keepers, Andre",male,55.0,0,0,C.A. 13759,69.1,A9718,S
78341,0,3,"Jones, Mark",male,24.0,0,0,458157,8.83,,S
28367,1,1,"King, Jason",male,42.0,0,0,414471,22.14,B14522,Q
17055,0,2,"Madden, Joshua",male,58.0,0,2,223049,25.17,,C
53619,1,2,"Austin, Edna",female,49.0,0,0,437820,7.62,,S
69687,1,1,"Smart, Jimmie",female,55.0,0,0,438705,122.18,D8042,C
12607,0,3,"Thompson, Shawn",male,36.0,0,0,STON/O 454765,11.35,,S
28123,0,3,"Parker, Thomas",male,12.0,0,2,8138,34.34,,S
17936,1,1,"Winfrey, Arnold",male,58.0,0,0,21788,8.13,C5225,S
80786,0,1,"Bloomer, Junior",male,39.0,1,1,25303,31.71,C15764,S
953,1,1,"Barrios, Chandra",female,22.0,0,0,32323,31.77,C12292,S
55524,1,2,"Gillespie, Jenny",female,20.0,0,0,11043,12.71,,S
27194,1,1,"Deckman, Nicole",female,52.0,0,0,10158,29.35,C12674,C
95696,1,3,"Mohseni, Doris",female,19.0,0,1,298855,37.42,,S
27391,0,3,"Morgan, Frank",male,45.0,0,3,321763,10.31,,C
51637,1,1,"Vines, James",male,56.0,0,1,4025199,82.07,C20140,S
54624,0,1,"Fraser, Margaret",female,24.0,3,1,513663,30.15,B5608,S
24424,1,2,"Davis, Matilde",female,67.0,0,1,Fa 45088,410.47,A9538,C
1290,0,3,"Henderson, Rick",male,34.0,0,0,32468,7.16,,S
18297,0,2,"Kelash, June",female,9.0,0,0,9727,29.69,,S
43981,1,1,"Hill, Iva",female,,0,0,31271,31.71,B14445,Q
77437,0,2,"Clark, Wendell",male,52.0,0,0,410800,27.86,,S
44247,0,3,"Fleming, Robert",male,63.0,0,0,24547,10.43,,S
977,0,3,"Owens, Thomas",male,53.0,0,0,13337,10.48,D3822,S
19837,0,3,"Smith, James",male,4.0,1,1,CA. 311905,78.68,,S
38476,1,2,"Dayley, Chelsey",female,51.0,0,0,A. 25987,27.98,,Q
65194,1,1,"Rhode, Elsie",female,52.0,0,1,PC 200612,60.48,C13855,C
81924,0,2,"South, William",male,61.0,1,0,327279,10.34,,C
29447,0,3,"Williams, Paul",male,48.0,0,0,3916549,11.5,,S
15980,1,1,"Grant, Don",male,41.0,0,0,37087,28.71,C18550,S
11394,0,1,"Morales, Raymond",male,34.0,0,0,38470,23.95,A11943,S
95388,1,3,"West, Yvonne",female,58.0,0,0,,9.97,,S
42256,0,3,"Rodriguez, Armando",male,44.0,1,0,434210,61.18,,S
77289,0,1,"Salvaggio, Joe",male,45.0,1,0,11536,27.16,D8754,S
71076,0,2,"Gallagher, Ethel",female,4.0,1,1,38228,33.5,,S
95441,0,1,"Wool, Melvin",male,5.0,0,0,A.5. 452221,463.02,C11284,C
83000,0,3,"Shore, Ben",male,22.0,0,0,STON/O 4109440,8.17,,S
23748,1,1,"Carson, Hana",female,44.0,0,0,219980,216.91,B18904,S
47804,1,2,"Maia, Asia",female,30.0,0,0,10204,28.38,,S
54827,0,3,"Spirko, Michael",male,23.0,0,0,C.A. 405175,8.66,,S
63113,0,3,"Berri, Kimberly",female,27.0,0,1,SOTON/OQ 435107,25.13,,C
90869,0,3,"Widell, Kevin",male,36.0,0,0,F.C.C. 8496,9.14,,
81808,0,2,"Ward, Lynn",female,11.0,0,1,3811,7.02,,S
20196,1,2,"Kitchen, Allison",female,6.0,0,0,25132,13.73,,S
75086,0,3,"Caldwell, Daniel",male,42.0,0,0,27486,23.81,,S
45791,1,2,"Kesner, Brenda",female,15.0,0,1,A/5. 413509,28.91,,S
35286,1,1,"Leon, Julie",female,51.0,0,0,30002,458.6,D13322,C
51332,0,3,"Hudson, Charles",male,9.0,0,0,3948305,57.4,,C
6569,1,1,"Miniard, Lucille",female,32.0,0,2,45096,62.45,B22075,C
76387,0,3,"Marinez, Jared",male,26.0,0,0,A. 212717,11.51,,S
71698,1,2,"Sheffield, Michael",male,22.0,1,3,4079038,31.77,B15316,S
1131,0,3,"Patrick, Mindy",female,8.0,1,1,4220095,32.59,,S
25196,1,1,"Kinnan, Norah",female,58.0,0,0,22740,27.91,B18527,Q
40658,1,1,"Morgan, Juanita",female,27.0,0,0,31208,64.97,C8719,C
95796,0,3,"Mckinney, Dorothy",female,26.0,0,0,SOTON/O.Q. 54977,9.79,,S
9811,0,1,"Chard, Christopher",male,44.0,1,2,10047,27.33,B3735,S
8700,0,3,"Lucas, Dwight",male,42.0,1,0,13181,9.75,C10394,S
79796,1,3,"Estrada, Milton",male,33.0,0,0,13599,27.73,,S
99394,0,3,"Steele, Ethel",female,76.0,0,0,C.A. 43963,11.45,,S
5078,0,3,"Alleyne, Thomas",male,62.0,0,0,25025,8.26,,S
40356,0,2,"Day, Misty",female,70.0,0,1,S.O./P.P. 14793,14.76,,C
27147,1,3,"Craft, Harry",male,50.0,1,9,F.C. 422035,10.46,,S
56051,0,3,"Hough, Franklin",male,32.0,0,0,13813,27.82,,S
75010,0,2,"Goldhirsh, Donald",male,52.0,0,0,11209,12.28,,S
1155,0,2,"Chew, James",male,30.0,0,0,4030916,7.6,,S
56655,1,2,"Hill, James",male,27.0,0,0,41166,7.63,,S
53113,0,2,"Mellis, Duncan",male,54.0,2,0,SOTON/OQ 10064,374.55,A10266,C
45130,0,3,"Cain, Samuel",male,41.0,0,0,STON/O 7391,110.97,,S
53278,1,2,"Brown, Samantha",female,28.0,0,0,189897,13.82,,C
13555,0,3,"Castillo, Kenneth",male,35.0,0,0,307237,23.05,,S
52618,0,1,"Jorgenson, Kirk",male,52.0,0,0,PC 451900,138.92,B16140,Q
52465,0,2,"Murphy, Kyle",male,49.0,0,0,317377,11.42,,S
20435,1,2,"Johnson, Monique",female,4.0,1,1,465766,35.57,,S
59853,0,1,"Dye, Jon",male,32.0,0,0,22659,22.97,C2981,S
48271,0,3,"Johnson, Ellis",male,28.0,0,0,470526,8.72,,S
43642,0,1,"Holliday, Gladys",female,62.0,1,0,475792,217.22,C6579,S
94724,1,3,"Ross, Robert",male,24.0,0,0,25586,26.71,,C
47383,1,1,"Heller, Gerald",male,51.0,0,0,454255,13.89,,S
73160,0,3,"Chandler, Walter",male,59.0,1,0,27413,33.5,,S
58777,0,1,"Espinoza, Iris",female,8.0,0,0,24712,55.34,A9603,S
27337,1,1,"Conner, Stanford",male,50.0,0,0,PC 7361,47.76,A11931,S
46155,1,1,"Hall, My",female,51.0,0,0,PC 424967,20.55,B11122,Q
11902,0,3,"Bohringer, Bobby",male,32.0,0,0,181185,8.37,,S
97205,0,2,"Mccollum, Mary",female,25.0,1,0,11010,29.39,,S
18273,0,3,"Smith, Gary",male,52.0,0,0,36864,9.69,,S
75584,0,3,"Lopez, William",male,52.0,0,0,333237,13.63,,C
35855,0,2,"Meehan, Brenda",female,28.0,0,0,37435,29.33,,S
16883,0,2,"Barnett, Jospeh",male,37.0,1,0,21271,31.08,,S
62305,1,2,"Towry, Charles",male,64.0,0,2,10702,19.83,,S
23020,1,3,"Sweet, Cheryl",female,39.0,2,2,C 424852,71.01,,S
65544,0,2,"Hines, James",male,18.0,0,0,STON/O 39186,8.23,,S
85177,0,3,"Savage, Mohammad",male,21.0,0,0,STON/O 469791,11.84,,S
68823,0,3,"Brown, Donald",male,26.0,0,0,439801,8.15,,S
85410,1,3,"Goslee, Suzanne",female,25.0,0,0,431422,8.91,,C
94947,1,2,"Whyte, Season",female,26.0,0,0,457392,36.62,,S
85268,0,3,"Levine, Jeffrey",male,0.33,1,2,436062,32.08,,S
23235,0,1,"Hirschman, Hal",male,62.0,0,2,45246,73.27,B1707,C
7851,1,1,"Perkins, Melvin",male,62.0,1,0,452384,80.65,A5227,C
20493,0,1,"Gonzalez, William",male,24.0,1,2,3911023,12.14,,S
12611,1,3,"Whitehead, Valerie",female,,0,0,A. 410120,8.21,,S
70373,1,2,"Holloway, Donna",female,10.0,0,0,25050,26.19,C4748,S
95442,0,1,"Champagne, Nicholas",male,54.0,0,0,466854,27.36,C4502,S
7638,0,2,"Morabito, Kathleen",female,24.0,1,0,4158751,8.8,,S
95923,1,1,"Strain, Brian",male,21.0,0,0,11908,25.6,D13783,S
10809,1,1,"Conly, Annette",female,56.0,1,0,15088,232.64,C13132,C
67950,1,3,"Acevedo, Patrick",male,57.0,0,1,SC/PARIS ,9.54,,S
22020,0,3,"Smith, Marc",male,28.0,0,0,,25.87,,S
68405,0,1,"Tew, Barbara",female,47.0,0,0,PC 20344,355.28,C9710,Q
40730,0,1,"Johnson, Daniel",male,72.0,0,0,24726,6.84,B18494,Q
96483,0,3,"Taylor, Joseph",male,27.0,0,0,35255,8.74,,S
37283,0,2,"Arrington, William",male,24.0,0,1,452733,11.69,,S
66603,1,2,"Hardy, Donna",female,68.0,0,1,27569,9.31,G19799,C
71334,0,3,"Veras, Neal",male,29.0,1,0,14682,10.14,,S
66209,1,2,"Harden, Mary",female,62.0,0,0,25977,30.26,C11984,C
68600,0,2,"Cardona, Ronald",male,23.0,0,0,3973829,4.0,,S
808,0,3,"Guyton, Rudolph",male,48.0,0,0,C.A. 23647,26.6,,S
13551,0,3,"Williams, Kenneth",male,65.0,0,0,3710745,12.06,,S
4348,1,2,"Comstock, Rebecca",female,64.0,1,0,45593,27.83,,S
18321,0,1,"Bryant, Richard",male,31.0,0,0,43487,49.17,C20123,S
25886,0,2,"Grinder, Brian",male,64.0,0,0,STON/O 41203,25.32,,S
37708,0,2,"Chappell, Lane",male,44.0,0,0,A. 4183673,9.17,,S
98715,1,1,"Espinoza, Janice",female,50.0,2,0,PC 38055,9.7,B20208,S
9803,1,1,"Burnett, Patricia",female,62.0,0,0,7639,20.32,,S
47889,0,3,"White, Arthur",male,49.0,1,2,13653,23.52,E22661,S
45687,0,3,"Silva, Randall",male,5.0,2,0,422499,11.82,,S
6629,0,2,"Scully, Frank",male,31.0,1,1,191663,34.63,,S
90778,0,3,"Williams, Vernon",male,58.0,0,0,13725,7.6,,S
39214,0,2,"Cruz, Patricia",female,27.0,0,0,208923,32.72,,S
40515,0,3,"Peterson, Marcus",male,54.0,0,0,477472,11.89,,S
93244,0,1,"Kesner, Leonard",male,35.0,1,2,12609,70.87,B19279,S
37544,0,3,"Allen, Hilary",female,57.0,0,0,12288,9.49,B15735,Q
20481,0,3,"Reed, Robert",male,61.0,0,0,7418,7.2,,C
1761,1,1,"Ingram, Lois",female,,1,0,29689,205.37,C11955,Q
77878,1,2,"Duffey, Martha",female,28.0,1,0,16988,31.33,,S
36866,0,1,"Deike, William",male,68.0,0,0,3973956,11.83,,S
66013,0,3,"Snyder, Clifford",male,21.0,2,0,32920,24.21,,S
24794,0,1,"Worthington, Jacob",male,56.0,2,0,PC 28906,31.33,A15678,S
25264,1,2,"Cruz, Sara",female,48.0,0,1,405913,36.19,,C
18144,1,2,"Peduto, Margie",female,33.0,0,0,A./5. 40070,28.46,,Q
97796,1,1,"Sitter, Isabelle",female,23.0,0,0,SC/Paris 10286,30.85,C13108,C
19297,0,1,"Riordan, Christina",female,63.0,0,0,230725,78.68,C12797,S
77909,0,1,"Gusler, Linda",female,65.0,0,0,PC 45942,164.73,D16401,Q
53367,1,3,"English, Irene",female,19.0,0,0,323102,10.64,,S
10711,0,3,"Roberts, Frederick",male,43.0,0,0,426631,10.93,,S
51145,1,3,"Hall, Dawna",female,30.0,0,0,410930,8.68,,S
56804,1,1,"Ward, Jennifer",female,52.0,0,0,PC 26601,94.69,C7048,C
7555,0,3,"Olson, Ralph",male,18.0,0,0,12375,11.4,,S
82138,0,3,"Holden, Jeffrey",male,34.0,1,0,PC 40687,175.93,A22661,C
13658,0,2,"Derrigo, Conrad",male,31.0,0,0,22908,32.14,,S
43818,0,3,"Galloway, Joseph",male,25.0,0,0,196839,6.08,,S
17598,0,3,"Correa, Brian",male,29.0,0,0,24523,6.24,,S
92647,0,1,"Johnson, Kathryn",female,55.0,0,0,475371,70.63,A17796,C
32834,0,2,"James, James",male,26.0,0,0,321004,23.99,,S
15166,0,2,"Alvarez, Beth",female,44.0,1,1,348929,12.88,,S
99632,1,1,"Nova, Hillary",female,21.0,0,0,25386,157.25,C15774,S
81607,0,3,"James, Dannie",male,0.83,1,1,45037,32.34,,S
88706,0,3,"Swee, Columbus",male,23.0,0,0,29160,12.47,,S
82106,0,3,"Pace, Walter",male,20.0,0,0,A. 453620,9.44,,S
37465,1,1,"Montanez, James",male,33.0,0,2,PC 15439,67.64,A9193,S
20360,1,1,"Beattie, Lori",female,64.0,0,2,PC 27748,75.41,D13148,C
47878,1,1,"Gaunce, Joseph",male,49.0,0,0,3609928,86.87,C12980,C
92149,0,3,"Kannel, Theresa",female,20.0,0,0,,5.25,,S
50326,1,2,"Torres, Myrtle",female,51.0,1,0,7303,25.25,,S
97689,1,3,"Mears, Kaitlin",female,31.0,0,1,S.C./PARIS ,6.26,,S
93107,0,3,"Kirby, Louis",male,28.0,0,0,466655,5.86,,S
24775,1,3,"Palmer, Justin",male,16.0,0,0,A. 445000,11.48,,S
65727,0,3,"Hunt, John",male,38.0,0,0,24352,7.07,,S
82048,1,3,"Padula, Rebekah",female,57.0,0,0,,9.61,,S
87300,1,2,"Qualls, Marquita",female,27.0,0,0,13465,15.82,,C
84208,0,2,"Smith, Wallace",male,60.0,1,0,460663,11.36,A22443,C
73565,0,1,"Scott, Marvin",male,20.0,1,2,29058,78.72,A20644,S
71387,1,1,"Lowe, Manuel",male,58.0,0,0,47869,92.17,B19923,Q
90300,1,1,"Small, Tina",female,47.0,1,0,27945,278.48,C17391,C
59188,0,3,"Dragon, Peter",male,24.0,0,0,40289,9.21,,S
21631,0,2,"Barrett, Brandon",male,54.0,0,0,A/5. 15760,27.82,,S
13338,1,1,"Brooks, Karen",female,38.0,0,0,PC 29460,137.32,C9986,C
539,0,3,"Pellegrino, Peter",male,24.0,0,0,,8.95,,S
4536,1,1,"Lobato, Irene",female,42.0,0,1,PC 288315,66.11,C19435,C
68834,0,3,"Scerra, Maggie",female,54.0,0,0,298787,53.16,C14407,S
44493,1,2,"Gibbs, Erma",female,2.0,1,2,CA. 398603,31.04,,C
28633,0,3,"Boshears, Magaret",female,,0,0,3819046,6.83,,S
9762,1,1,"Grant, Kathy",female,29.0,0,2,28302,255.41,C5285,C
16515,0,3,"Bennett, Sara",female,2.0,1,2,CA. 446323,27.83,,S
97098,1,2,"Arms, Clara",female,47.0,0,0,23392,26.95,,C
47967,0,2,"Daly, Carol",female,3.0,1,1,455044,32.42,,S
99119,0,3,"Meraz, David",male,51.0,0,0,STON/O 41373,8.91,,S
90374,1,2,"Atchison, Pauline",female,57.0,0,1,SOTON/OQ 36296,106.66,,C
43478,0,2,"Mullins, John",male,51.0,0,0,24281,11.8,,S
38499,1,2,"Thoren, Sandra",female,52.0,0,1,30743,29.29,,S
51828,0,2,"Clancy, Ben",male,22.0,0,0,182966,23.17,,S
68758,1,1,"Lee, Margaret",female,52.0,0,0,21185,93.38,C18449,C
98938,0,3,"Gonzalez, John",male,20.0,0,0,A. 12743,11.27,,S
89465,0,1,"Munoz, John",male,51.0,0,0,STON/OQ. 21797,105.69,C21397,S
46570,1,2,"Black, Pansy",female,51.0,0,0,9855,8.09,,S
66215,1,1,"Nelson, Jeffrey",male,32.0,1,0,417087,27.92,B6563,S
1329,0,2,"Thornburg, Harry",male,,0,0,STON/O 14864,10.75,,S
51845,1,3,"Christner, Ruth",female,47.0,2,0,14199,9.38,,S
11445,1,1,"Gregory, Carrie",female,44.0,0,0,450087,544.72,C8434,C
309,0,3,"Merritt, Allan",male,43.0,0,0,F.C.C. 12173,26.59,,S
92870,0,1,"Brandt, Jose",male,24.0,2,0,29133,8.21,C7506,S
65924,0,3,"Siriano, William",male,7.0,3,0,,25.79,,S
99013,1,3,"Leak, Becky",female,19.0,0,1,,10.65,,S
32703,0,3,"Barnes, Ramiro",male,22.0,0,0,220839,7.78,,S
49565,0,3,"Jones, James",male,32.0,0,0,SC/AH 453428,7.84,,S
53224,0,2,"Strieker, Derick",male,3.0,1,2,10899,25.62,,S
19771,0,2,"Chavez, William",male,28.0,1,0,5669,28.29,,S
88196,1,1,"Werner, Rosario",female,62.0,0,0,237326,8.68,E7449,S
85549,1,1,"Sandell, Lisa",female,49.0,0,0,PC 25820,82.3,C18806,C
74701,0,2,"Orefice, Delores",female,2.0,1,0,352688,32.21,,S
49954,0,3,"Horowitz, Joseph",male,53.0,0,0,SC/PARIS 12936,9.85,,S
40966,0,3,"Montano, John",male,25.0,0,0,24093,7.49,,S
45770,1,3,"Richardson, Anne",female,51.0,1,0,W.E.P. 342140,38.68,,S
28953,1,2,"Woolery, Samuel",male,49.0,0,0,7137,26.23,E7444,S
32843,0,2,"Hicks, Tommy",male,58.0,0,0,9316,8.18,,S
38812,1,2,"Eley, Eva",female,55.0,0,0,325986,15.74,,S
29093,0,3,"Latigo, Ted",male,57.0,0,0,11929,6.29,,S
73812,0,3,"Woods, Milo",male,68.0,0,1,8860,5.52,,S
87664,1,1,"Sturdivant, Patsy",female,5.0,1,2,10370,76.08,,C
89310,0,3,"Bush, Austin",male,63.0,0,0,12168,25.32,,S
15480,0,2,"Monaco, Victoria",female,40.0,0,0,S.C./A.4. 208873,13.3,,S
66266,0,2,"Dominguez, Zachary",male,30.0,0,0,180608,12.04,,C
89852,0,3,"Roman, Chester",male,42.0,1,2,PP 311714,30.04,,S
61547,1,2,"Rutherford, Rose",female,59.0,0,0,3978,9.1,,S
29868,0,2,"Combs, Walter",male,25.0,0,0,442387,8.89,,S
10811,0,1,"Evans, Abe",male,49.0,0,0,12775,8.46,,S
39903,0,3,"Johnson, William",male,63.0,0,0,224104,10.08,,S
4335,0,1,"Mcglothin, Todd",male,50.0,0,0,PC 21436,71.92,C14291,Q
83905,0,3,"Munroe, Deirdre",female,66.0,0,0,429046,10.05,,S
51726,0,3,"Kaelin, Ismael",male,15.0,0,0,SOTON/O.Q. ,8.82,,S
26703,0,3,"Valerio, Willie",male,62.0,0,0,,29.59,,S
53146,0,2,"Close, Laura",female,25.0,0,0,C.A./SOTON 10083,13.61,,S
29968,1,1,"Boock, Richard",male,44.0,0,0,PC 23034,68.36,C14443,C
19500,1,1,"Karpinen, Helen",female,58.0,1,1,19304,27.68,A7642,S
36058,1,2,"Ferri, Eleanor",female,9.0,1,1,303666,8.83,,C
50610,1,2,"West, Marisa",female,53.0,0,0,475830,19.53,,S
95396,0,1,"Hevner, Wendy",female,58.0,0,0,PC 25259,63.71,A14541,S
35907,0,2,"Reyes, Joshua",male,50.0,0,0,25840,8.38,,S
97477,0,2,"Grand, Ronda",female,31.0,0,0,7509,32.52,,S
289,0,1,"Jones, Hermelinda",female,44.0,1,0,186918,136.1,C22213,C
32208,0,1,"Hopper, Zachary",male,27.5,0,0,PC 13452,7.79,B4993,Q
73103,0,3,"Roe, Bryan",male,19.0,0,0,A. 22410,8.21,,S
